"","Group","LevelB","LevelC","Module","Module_group","Module_desc","Module_desc_numbers","Presence","Total","Percent"
"113","Gpac","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00124","M00124_Gpac","M00124_Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P","M00124 Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P (5)  ",5,6,83.3333333333333
"114","Povi","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00124","M00124_Povi","M00124_Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P","M00124 Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P (5)  ",5,6,83.3333333333333
"115","Gbar","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00125","M00125_Gbar","M00125_Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD","M00125 Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD (8)  ",6,7,85.7142857142857
"116","Gpac","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00125","M00125_Gpac","M00125_Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD","M00125 Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD (8)  ",6,7,85.7142857142857
"117","Povi","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00125","M00125_Povi","M00125_Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD","M00125 Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD (8)  ",6,7,85.7142857142857
"118","Gbar","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00126","M00126_Gbar","M00126_Tetrahydrofolate biosynthesis, GTP => THF","M00126 Tetrahydrofolate biosynthesis, GTP => THF (11)  ",5,5,100
"119","Gpac","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00126","M00126_Gpac","M00126_Tetrahydrofolate biosynthesis, GTP => THF","M00126 Tetrahydrofolate biosynthesis, GTP => THF (11)  ",5,5,100
"120","Povi","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00126","M00126_Povi","M00126_Tetrahydrofolate biosynthesis, GTP => THF","M00126 Tetrahydrofolate biosynthesis, GTP => THF (11)  ",5,5,100
"121","Gbar","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00127","M00127_Gbar","M00127_Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP","M00127 Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP (7)  ",5,7,71.4285714285714
"122","Gpac","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00127","M00127_Gpac","M00127_Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP","M00127 Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP (7)  ",5,7,71.4285714285714
"123","Povi","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00127","M00127_Povi","M00127_Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP","M00127 Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP (7)  ",5,7,71.4285714285714
"124","Gbar","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00128","M00128_Gbar","M00128_Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol","M00128 Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol (1)  ",1,6,16.6666666666667
"125","Gpac","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00128","M00128_Gpac","M00128_Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol","M00128 Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol (1)  ",1,6,16.6666666666667
"126","Povi","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00128","M00128_Povi","M00128_Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol","M00128 Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol (1)  ",1,6,16.6666666666667
"127","Gbar","Carbohydrate metabolism","Other carbohydrate metabolism","M00129","M00129_Gbar","M00129_Ascorbate biosynthesis, animals, glucose-1P => ascorbate","M00129 Ascorbate biosynthesis, animals, glucose-1P => ascorbate (5)  ",5,7,71.4285714285714
"128","Gpac","Carbohydrate metabolism","Other carbohydrate metabolism","M00129","M00129_Gpac","M00129_Ascorbate biosynthesis, animals, glucose-1P => ascorbate","M00129 Ascorbate biosynthesis, animals, glucose-1P => ascorbate (5)  ",5,7,71.4285714285714
"129","Povi","Carbohydrate metabolism","Other carbohydrate metabolism","M00129","M00129_Povi","M00129_Ascorbate biosynthesis, animals, glucose-1P => ascorbate","M00129 Ascorbate biosynthesis, animals, glucose-1P => ascorbate (5)  ",5,7,71.4285714285714
"130","Gbar","Carbohydrate metabolism","Other carbohydrate metabolism","M00131","M00131_Gbar","M00131_Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol","M00131 Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol (1)  ",1,4,25
"131","Gpac","Carbohydrate metabolism","Other carbohydrate metabolism","M00131","M00131_Gpac","M00131_Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol","M00131 Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol (1)  ",1,4,25
"132","Povi","Carbohydrate metabolism","Other carbohydrate metabolism","M00131","M00131_Povi","M00131_Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol","M00131 Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol (1)  ",1,4,25
"133","Gbar","Amino acid metabolism","Polyamine biosynthesis","M00135","M00135_Gbar","M00135_GABA biosynthesis, eukaryotes, putrescine => GABA","M00135 GABA biosynthesis, eukaryotes, putrescine => GABA (1)  ",1,3,33.3333333333333
"134","Gpac","Amino acid metabolism","Polyamine biosynthesis","M00135","M00135_Gpac","M00135_GABA biosynthesis, eukaryotes, putrescine => GABA","M00135 GABA biosynthesis, eukaryotes, putrescine => GABA (1)  ",1,3,33.3333333333333
"135","Povi","Amino acid metabolism","Polyamine biosynthesis","M00135","M00135_Povi","M00135_GABA biosynthesis, eukaryotes, putrescine => GABA","M00135 GABA biosynthesis, eukaryotes, putrescine => GABA (1)  ",1,3,33.3333333333333
"136","Gbar","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00140","M00140_Gbar","M00140_C1-unit interconversion, prokaryotes","M00140 C1-unit interconversion, prokaryotes (3)  ",3,3,100
"137","Gpac","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00140","M00140_Gpac","M00140_C1-unit interconversion, prokaryotes","M00140 C1-unit interconversion, prokaryotes (3)  ",3,3,100
"138","Povi","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00140","M00140_Povi","M00140_C1-unit interconversion, prokaryotes","M00140 C1-unit interconversion, prokaryotes (3)  ",3,3,100
"139","Gbar","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00141","M00141_Gbar","M00141_C1-unit interconversion, eukaryotes","M00141 C1-unit interconversion, eukaryotes (2)  ",2,2,100
"140","Gpac","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00141","M00141_Gpac","M00141_C1-unit interconversion, eukaryotes","M00141 C1-unit interconversion, eukaryotes (2)  ",2,2,100
"141","Povi","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00141","M00141_Povi","M00141_C1-unit interconversion, eukaryotes","M00141 C1-unit interconversion, eukaryotes (2)  ",2,2,100
"142","Gbar","Energy metabolism","ATP synthesis","M00144","M00144_Gbar","M00144_NADH:quinone oxidoreductase, prokaryotes","M00144 NADH:quinone oxidoreductase, prokaryotes (16)  ",1,1,100
"143","Gpac","Energy metabolism","ATP synthesis","M00144","M00144_Gpac","M00144_NADH:quinone oxidoreductase, prokaryotes","M00144 NADH:quinone oxidoreductase, prokaryotes (16)  ",1,1,100
"144","Povi","Energy metabolism","ATP synthesis","M00144","M00144_Povi","M00144_NADH:quinone oxidoreductase, prokaryotes","M00144 NADH:quinone oxidoreductase, prokaryotes (16)  ",1,1,100
"145","Gbar","Energy metabolism","ATP synthesis","M00149","M00149_Gbar","M00149_Succinate dehydrogenase, prokaryotes","M00149 Succinate dehydrogenase, prokaryotes (4)  ",1,1,100
"146","Gpac","Energy metabolism","ATP synthesis","M00149","M00149_Gpac","M00149_Succinate dehydrogenase, prokaryotes","M00149 Succinate dehydrogenase, prokaryotes (4)  ",1,1,100
"147","Povi","Energy metabolism","ATP synthesis","M00149","M00149_Povi","M00149_Succinate dehydrogenase, prokaryotes","M00149 Succinate dehydrogenase, prokaryotes (4)  ",1,1,100
"148","Gbar","Energy metabolism","ATP synthesis","M00150","M00150_Gbar","M00150_Fumarate reductase, prokaryotes","M00150 Fumarate reductase, prokaryotes (4)  ",1,1,100
"149","Gpac","Energy metabolism","ATP synthesis","M00150","M00150_Gpac","M00150_Fumarate reductase, prokaryotes","M00150 Fumarate reductase, prokaryotes (4)  ",1,1,100
"150","Povi","Energy metabolism","ATP synthesis","M00150","M00150_Povi","M00150_Fumarate reductase, prokaryotes","M00150 Fumarate reductase, prokaryotes (4)  ",1,1,100
"151","Gbar","Energy metabolism","ATP synthesis","M00151","M00151_Gbar","M00151_Cytochrome bc1 complex respiratory unit","M00151 Cytochrome bc1 complex respiratory unit (4)  ",1,1,100
"152","Gpac","Energy metabolism","ATP synthesis","M00151","M00151_Gpac","M00151_Cytochrome bc1 complex respiratory unit","M00151 Cytochrome bc1 complex respiratory unit (4)  ",1,1,100
"153","Povi","Energy metabolism","ATP synthesis","M00151","M00151_Povi","M00151_Cytochrome bc1 complex respiratory unit","M00151 Cytochrome bc1 complex respiratory unit (4)  ",1,1,100
"154","Gbar","Energy metabolism","ATP synthesis","M00155","M00155_Gbar","M00155_Cytochrome c oxidase, prokaryotes","M00155 Cytochrome c oxidase, prokaryotes (4)  ",1,1,100
"155","Gpac","Energy metabolism","ATP synthesis","M00155","M00155_Gpac","M00155_Cytochrome c oxidase, prokaryotes","M00155 Cytochrome c oxidase, prokaryotes (4)  ",1,1,100
"156","Povi","Energy metabolism","ATP synthesis","M00155","M00155_Povi","M00155_Cytochrome c oxidase, prokaryotes","M00155 Cytochrome c oxidase, prokaryotes (4)  ",1,1,100
"157","Gbar","Energy metabolism","ATP synthesis","M00156","M00156_Gbar","M00156_Cytochrome c oxidase, cbb3-type","M00156 Cytochrome c oxidase, cbb3-type (4)  ",1,1,100
"158","Gpac","Energy metabolism","ATP synthesis","M00156","M00156_Gpac","M00156_Cytochrome c oxidase, cbb3-type","M00156 Cytochrome c oxidase, cbb3-type (4)  ",1,1,100
"159","Povi","Energy metabolism","ATP synthesis","M00156","M00156_Povi","M00156_Cytochrome c oxidase, cbb3-type","M00156 Cytochrome c oxidase, cbb3-type (4)  ",1,1,100
"160","Gbar","Energy metabolism","ATP synthesis","M00157","M00157_Gbar","M00157_F-type ATPase, prokaryotes and chloroplasts","M00157 F-type ATPase, prokaryotes and chloroplasts (8)  ",1,1,100
"161","Gpac","Energy metabolism","ATP synthesis","M00157","M00157_Gpac","M00157_F-type ATPase, prokaryotes and chloroplasts","M00157 F-type ATPase, prokaryotes and chloroplasts (8)  ",1,1,100
"162","Povi","Energy metabolism","ATP synthesis","M00157","M00157_Povi","M00157_F-type ATPase, prokaryotes and chloroplasts","M00157 F-type ATPase, prokaryotes and chloroplasts (8)  ",1,1,100
"163","Gbar","Energy metabolism","ATP synthesis","M00159","M00159_Gbar","M00159_V-type ATPase, prokaryotes","M00159 V/A-type ATPase, prokaryotes (9)  ",1,1,100
"164","Gpac","Energy metabolism","ATP synthesis","M00159","M00159_Gpac","M00159_V-type ATPase, prokaryotes","M00159 V/A-type ATPase, prokaryotes (9)  ",1,1,100
"165","Povi","Energy metabolism","ATP synthesis","M00159","M00159_Povi","M00159_V-type ATPase, prokaryotes","M00159 V/A-type ATPase, prokaryotes (9)  ",1,1,100
"166","Gbar","Energy metabolism","Carbon fixation","M00165","M00165_Gbar","M00165_Reductive pentose phosphate cycle (Calvin cycle)","M00165 Reductive pentose phosphate cycle (Calvin cycle) (14)  ",11,11,100
"167","Gpac","Energy metabolism","Carbon fixation","M00165","M00165_Gpac","M00165_Reductive pentose phosphate cycle (Calvin cycle)","M00165 Reductive pentose phosphate cycle (Calvin cycle) (14)  ",11,11,100
"168","Povi","Energy metabolism","Carbon fixation","M00165","M00165_Povi","M00165_Reductive pentose phosphate cycle (Calvin cycle)","M00165 Reductive pentose phosphate cycle (Calvin cycle) (14)  ",11,11,100
"169","Gbar","Energy metabolism","Carbon fixation","M00166","M00166_Gbar","M00166_Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P","M00166 Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P (6)  ",4,4,100
"170","Gpac","Energy metabolism","Carbon fixation","M00166","M00166_Gpac","M00166_Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P","M00166 Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P (6)  ",4,4,100
"171","Povi","Energy metabolism","Carbon fixation","M00166","M00166_Povi","M00166_Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P","M00166 Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P (6)  ",4,4,100
"172","Gbar","Energy metabolism","Carbon fixation","M00167","M00167_Gbar","M00167_Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P","M00167 Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P (8)  ",7,7,100
"173","Gpac","Energy metabolism","Carbon fixation","M00167","M00167_Gpac","M00167_Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P","M00167 Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P (8)  ",7,7,100
"174","Povi","Energy metabolism","Carbon fixation","M00167","M00167_Povi","M00167_Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P","M00167 Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P (8)  ",7,7,100
"175","Gbar","Energy metabolism","Carbon fixation","M00168","M00168_Gbar","M00168_CAM (Crassulacean acid metabolism), dark","M00168 CAM (Crassulacean acid metabolism), dark (2)  ",2,2,100
"176","Gpac","Energy metabolism","Carbon fixation","M00168","M00168_Gpac","M00168_CAM (Crassulacean acid metabolism), dark","M00168 CAM (Crassulacean acid metabolism), dark (3)  ",2,2,100
"177","Povi","Energy metabolism","Carbon fixation","M00168","M00168_Povi","M00168_CAM (Crassulacean acid metabolism), dark","M00168 CAM (Crassulacean acid metabolism), dark (3)  ",2,2,100
"178","Gbar","Energy metabolism","Carbon fixation","M00169","M00169_Gbar","M00169_CAM (Crassulacean acid metabolism), light","M00169 CAM (Crassulacean acid metabolism), light (2)  ",2,2,100
"179","Gpac","Energy metabolism","Carbon fixation","M00169","M00169_Gpac","M00169_CAM (Crassulacean acid metabolism), light","M00169 CAM (Crassulacean acid metabolism), light (2)  ",2,2,100
"180","Povi","Energy metabolism","Carbon fixation","M00169","M00169_Povi","M00169_CAM (Crassulacean acid metabolism), light","M00169 CAM (Crassulacean acid metabolism), light (2)  ",2,2,100
"181","Gbar","Energy metabolism","Carbon fixation","M00170","M00170_Gbar","M00170_C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type","M00170 C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type (2)  ",2,4,50
"182","Gpac","Energy metabolism","Carbon fixation","M00170","M00170_Gpac","M00170_C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type","M00170 C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type (2)  ",2,4,50
"183","Povi","Energy metabolism","Carbon fixation","M00170","M00170_Povi","M00170_C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type","M00170 C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type (2)  ",2,4,50
"184","Gbar","Energy metabolism","Carbon fixation","M00171","M00171_Gbar","M00171_C4-dicarboxylic acid cycle, NAD - malic enzyme type","M00171 C4-dicarboxylic acid cycle, NAD - malic enzyme type (2)  ",2,7,28.5714285714286
"185","Gpac","Energy metabolism","Carbon fixation","M00171","M00171_Gpac","M00171_C4-dicarboxylic acid cycle, NAD - malic enzyme type","M00171 C4-dicarboxylic acid cycle, NAD - malic enzyme type (3)  ",3,7,42.8571428571429
"186","Povi","Energy metabolism","Carbon fixation","M00171","M00171_Povi","M00171_C4-dicarboxylic acid cycle, NAD - malic enzyme type","M00171 C4-dicarboxylic acid cycle, NAD - malic enzyme type (3)  ",3,7,42.8571428571429
"187","Gbar","Energy metabolism","Carbon fixation","M00172","M00172_Gbar","M00172_C4-dicarboxylic acid cycle, NADP - malic enzyme type","M00172 C4-dicarboxylic acid cycle, NADP - malic enzyme type (3)  ",3,4,75
"188","Gpac","Energy metabolism","Carbon fixation","M00172","M00172_Gpac","M00172_C4-dicarboxylic acid cycle, NADP - malic enzyme type","M00172 C4-dicarboxylic acid cycle, NADP - malic enzyme type (3)  ",3,4,75
"189","Povi","Energy metabolism","Carbon fixation","M00172","M00172_Povi","M00172_C4-dicarboxylic acid cycle, NADP - malic enzyme type","M00172 C4-dicarboxylic acid cycle, NADP - malic enzyme type (3)  ",3,4,75
"190","Gbar","Energy metabolism","Carbon fixation","M00173","M00173_Gbar","M00173_Reductive citrate cycle (Arnon-Buchanan cycle)","M00173 Reductive citrate cycle (Arnon-Buchanan cycle) (33)  ",10,10,100
"191","Gpac","Energy metabolism","Carbon fixation","M00173","M00173_Gpac","M00173_Reductive citrate cycle (Arnon-Buchanan cycle)","M00173 Reductive citrate cycle (Arnon-Buchanan cycle) (33)  ",10,10,100
"192","Povi","Energy metabolism","Carbon fixation","M00173","M00173_Povi","M00173_Reductive citrate cycle (Arnon-Buchanan cycle)","M00173 Reductive citrate cycle (Arnon-Buchanan cycle) (34)  ",10,10,100
"193","Gbar","Energy metabolism","Methane metabolism","M00174","M00174_Gbar","M00174_Methane oxidation, methanotroph, methane => formaldehyde","M00174 Methane oxidation, methanotroph, methane => formaldehyde (6)  ",2,2,100
"194","Gpac","Energy metabolism","Methane metabolism","M00174","M00174_Gpac","M00174_Methane oxidation, methanotroph, methane => formaldehyde","M00174 Methane oxidation, methanotroph, methane => formaldehyde (6)  ",2,2,100
"195","Povi","Energy metabolism","Methane metabolism","M00174","M00174_Povi","M00174_Methane oxidation, methanotroph, methane => formaldehyde","M00174 Methane oxidation, methanotroph, methane => formaldehyde (6)  ",2,2,100
"196","Gbar","Energy metabolism","Sulfur metabolism","M00176","M00176_Gbar","M00176_Assimilatory sulfate reduction, sulfate => H2S","M00176 Assimilatory sulfate reduction, sulfate => H2S (9)  ",3,3,100
"197","Gpac","Energy metabolism","Sulfur metabolism","M00176","M00176_Gpac","M00176_Assimilatory sulfate reduction, sulfate => H2S","M00176 Assimilatory sulfate reduction, sulfate => H2S (9)  ",3,3,100
"198","Povi","Energy metabolism","Sulfur metabolism","M00176","M00176_Povi","M00176_Assimilatory sulfate reduction, sulfate => H2S","M00176 Assimilatory sulfate reduction, sulfate => H2S (8)  ",3,3,100
"199","Gbar","Carbohydrate metabolism","Central carbohydrate metabolism","M00307","M00307_Gbar","M00307_Pyruvate oxidation, pyruvate => acetyl-CoA","M00307 Pyruvate oxidation, pyruvate => acetyl-CoA (10)  ",1,1,100
"200","Gpac","Carbohydrate metabolism","Central carbohydrate metabolism","M00307","M00307_Gpac","M00307_Pyruvate oxidation, pyruvate => acetyl-CoA","M00307 Pyruvate oxidation, pyruvate => acetyl-CoA (10)  ",1,1,100
"201","Povi","Carbohydrate metabolism","Central carbohydrate metabolism","M00307","M00307_Povi","M00307_Pyruvate oxidation, pyruvate => acetyl-CoA","M00307 Pyruvate oxidation, pyruvate => acetyl-CoA (10)  ",1,1,100
"202","Gbar","Carbohydrate metabolism","Central carbohydrate metabolism","M00308","M00308_Gbar","M00308_Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P","M00308 Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P (6)  ",4,4,100
"203","Gpac","Carbohydrate metabolism","Central carbohydrate metabolism","M00308","M00308_Gpac","M00308_Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P","M00308 Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P (6)  ",4,4,100
"204","Povi","Carbohydrate metabolism","Central carbohydrate metabolism","M00308","M00308_Povi","M00308_Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P","M00308 Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P (6)  ",4,4,100
"205","Gbar","Carbohydrate metabolism","Central carbohydrate metabolism","M00309","M00309_Gbar","M00309_Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate","M00309 Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate (3)  ",3,3,100
"206","Gpac","Carbohydrate metabolism","Central carbohydrate metabolism","M00309","M00309_Gpac","M00309_Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate","M00309 Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate (3)  ",3,3,100
"207","Povi","Carbohydrate metabolism","Central carbohydrate metabolism","M00309","M00309_Povi","M00309_Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate","M00309 Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate (3)  ",3,3,100
"208","Gbar","Energy metabolism","Methane metabolism","M00344","M00344_Gbar","M00344_Formaldehyde assimilation, xylulose monophosphate pathway","M00344 Formaldehyde assimilation, xylulose monophosphate pathway (2)  ",2,4,50
"209","Gpac","Energy metabolism","Methane metabolism","M00344","M00344_Gpac","M00344_Formaldehyde assimilation, xylulose monophosphate pathway","M00344 Formaldehyde assimilation, xylulose monophosphate pathway (2)  ",2,4,50
"210","Povi","Energy metabolism","Methane metabolism","M00344","M00344_Povi","M00344_Formaldehyde assimilation, xylulose monophosphate pathway","M00344 Formaldehyde assimilation, xylulose monophosphate pathway (2)  ",2,4,50
"211","Gbar","Energy metabolism","Methane metabolism","M00345","M00345_Gbar","M00345_Formaldehyde assimilation, ribulose monophosphate pathway","M00345 Formaldehyde assimilation, ribulose monophosphate pathway (6)  ",3,3,100
"212","Gpac","Energy metabolism","Methane metabolism","M00345","M00345_Gpac","M00345_Formaldehyde assimilation, ribulose monophosphate pathway","M00345 Formaldehyde assimilation, ribulose monophosphate pathway (6)  ",3,3,100
"213","Povi","Energy metabolism","Methane metabolism","M00345","M00345_Povi","M00345_Formaldehyde assimilation, ribulose monophosphate pathway","M00345 Formaldehyde assimilation, ribulose monophosphate pathway (6)  ",3,3,100
"214","Gbar","Energy metabolism","Methane metabolism","M00346","M00346_Gbar","M00346_Formaldehyde assimilation, serine pathway","M00346 Formaldehyde assimilation, serine pathway (9)  ",8,9,88.8888888888889
"215","Gpac","Energy metabolism","Methane metabolism","M00346","M00346_Gpac","M00346_Formaldehyde assimilation, serine pathway","M00346 Formaldehyde assimilation, serine pathway (9)  ",8,9,88.8888888888889
"216","Povi","Energy metabolism","Methane metabolism","M00346","M00346_Povi","M00346_Formaldehyde assimilation, serine pathway","M00346 Formaldehyde assimilation, serine pathway (9)  ",8,9,88.8888888888889
"217","Gbar","Energy metabolism","Methane metabolism","M00356","M00356_Gbar","M00356_Methanogenesis, methanol => methane","M00356 Methanogenesis, methanol => methane (5)  ",1,3,33.3333333333333
"218","Gpac","Energy metabolism","Methane metabolism","M00356","M00356_Gpac","M00356_Methanogenesis, methanol => methane","M00356 Methanogenesis, methanol => methane (5)  ",1,3,33.3333333333333
"219","Povi","Energy metabolism","Methane metabolism","M00356","M00356_Povi","M00356_Methanogenesis, methanol => methane","M00356 Methanogenesis, methanol => methane (5)  ",1,3,33.3333333333333
"220","Gbar","Energy metabolism","Methane metabolism","M00357","M00357_Gbar","M00357_Methanogenesis, acetate => methane","M00357 Methanogenesis, acetate => methane (8)  ",2,5,40
"221","Gpac","Energy metabolism","Methane metabolism","M00357","M00357_Gpac","M00357_Methanogenesis, acetate => methane","M00357 Methanogenesis, acetate => methane (8)  ",2,5,40
"222","Povi","Energy metabolism","Methane metabolism","M00357","M00357_Povi","M00357_Methanogenesis, acetate => methane","M00357 Methanogenesis, acetate => methane (8)  ",2,5,40
"223","Gbar","Energy metabolism","Methane metabolism","M00358","M00358_Gbar","M00358_Coenzyme M biosynthesis","M00358 Coenzyme M biosynthesis (5)  ",4,4,100
"224","Gpac","Energy metabolism","Methane metabolism","M00358","M00358_Gpac","M00358_Coenzyme M biosynthesis","M00358 Coenzyme M biosynthesis (5)  ",4,4,100
"225","Povi","Energy metabolism","Methane metabolism","M00358","M00358_Povi","M00358_Coenzyme M biosynthesis","M00358 Coenzyme M biosynthesis (5)  ",4,4,100
"226","Gbar","Carbohydrate metabolism","Other carbohydrate metabolism","M00373","M00373_Gbar","M00373_Ethylmalonyl pathway","M00373 Ethylmalonyl pathway (12)  ",11,12,91.6666666666667
"227","Gpac","Carbohydrate metabolism","Other carbohydrate metabolism","M00373","M00373_Gpac","M00373_Ethylmalonyl pathway","M00373 Ethylmalonyl pathway (12)  ",11,12,91.6666666666667
"228","Povi","Carbohydrate metabolism","Other carbohydrate metabolism","M00373","M00373_Povi","M00373_Ethylmalonyl pathway","M00373 Ethylmalonyl pathway (12)  ",11,12,91.6666666666667
"229","Gbar","Energy metabolism","Carbon fixation","M00374","M00374_Gbar","M00374_Dicarboxylate-hydroxybutyrate cycle","M00374 Dicarboxylate-hydroxybutyrate cycle (17)  ",10,13,76.9230769230769
"230","Gpac","Energy metabolism","Carbon fixation","M00374","M00374_Gpac","M00374_Dicarboxylate-hydroxybutyrate cycle","M00374 Dicarboxylate-hydroxybutyrate cycle (17)  ",10,13,76.9230769230769
"231","Povi","Energy metabolism","Carbon fixation","M00374","M00374_Povi","M00374_Dicarboxylate-hydroxybutyrate cycle","M00374 Dicarboxylate-hydroxybutyrate cycle (17)  ",10,13,76.9230769230769
"232","Gbar","Energy metabolism","Carbon fixation","M00375","M00375_Gbar","M00375_Hydroxypropionate-hydroxybutylate cycle","M00375 Hydroxypropionate-hydroxybutylate cycle (8)  ",7,14,50
"233","Gpac","Energy metabolism","Carbon fixation","M00375","M00375_Gpac","M00375_Hydroxypropionate-hydroxybutylate cycle","M00375 Hydroxypropionate-hydroxybutylate cycle (8)  ",7,14,50
"234","Povi","Energy metabolism","Carbon fixation","M00375","M00375_Povi","M00375_Hydroxypropionate-hydroxybutylate cycle","M00375 Hydroxypropionate-hydroxybutylate cycle (8)  ",7,14,50
"235","Gbar","Energy metabolism","Carbon fixation","M00376","M00376_Gbar","M00376_3-Hydroxypropionate bi-cycle","M00376 3-Hydroxypropionate bi-cycle (18)  ",10,13,76.9230769230769
"236","Gpac","Energy metabolism","Carbon fixation","M00376","M00376_Gpac","M00376_3-Hydroxypropionate bi-cycle","M00376 3-Hydroxypropionate bi-cycle (19)  ",11,13,84.6153846153846
"237","Povi","Energy metabolism","Carbon fixation","M00376","M00376_Povi","M00376_3-Hydroxypropionate bi-cycle","M00376 3-Hydroxypropionate bi-cycle (19)  ",11,13,84.6153846153846
